"fdc_id","data_type","description","food_category_id","publication_date"
"2340760","survey_fndds_food","Milk, human","","2022-10-28"
"2340761","survey_fndds_food","Milk, NFS","","2022-10-28"
"2340762","survey_fndds_food","Milk, whole","","2022-10-28"
"2340763","survey_fndds_food","Milk, reduced fat (2%)","","2022-10-28"
"2340764","survey_fndds_food","Milk, low fat (1%)","","2022-10-28"
"2340765","survey_fndds_food","Milk, fat free (skim)","","2022-10-28"
"2340766","survey_fndds_food","Milk, lactose free, low fat (1%)","","2022-10-28"
"2340767","survey_fndds_food","Milk, lactose free, fat free (skim)","","2022-10-28"
"2340768","survey_fndds_food","Milk, lactose free, reduced fat (2%)","","2022-10-28"
"2340769","survey_fndds_food","Milk, lactose free, whole","","2022-10-28"
"2340770","survey_fndds_food","Buttermilk, fat free (skim)","","2022-10-28"
"2340771","survey_fndds_food","Buttermilk, whole","","2022-10-28"
"2340772","survey_fndds_food","Kefir, NS as to fat content","","2022-10-28"
"2340773","survey_fndds_food","Goat's milk, whole","","2022-10-28"
"2340774","survey_fndds_food","Milk, dry, reconstituted, NS as to fat content","","2022-10-28"
"2340775","survey_fndds_food","Milk, dry, reconstituted, whole","","2022-10-28"
"2340776","survey_fndds_food","Milk, dry, reconstituted, low fat (1%)","","2022-10-28"
"2340777","survey_fndds_food","Milk, dry, reconstituted, fat free (skim)","","2022-10-28"
"2340778","survey_fndds_food","Milk, evaporated, NS as to fat content","","2022-10-28"
"2340779","survey_fndds_food","Milk, evaporated, whole","","2022-10-28"
"2340780","survey_fndds_food","Milk, evaporated, reduced fat (2%)","","2022-10-28"
"2340781","survey_fndds_food","Milk, evaporated, fat free (skim)","","2022-10-28"
"2340782","survey_fndds_food","Milk, condensed, sweetened","","2022-10-28"
"2340783","survey_fndds_food","Non-dairy milk, NFS","","2022-10-28"
"2340784","survey_fndds_food","Soy milk","","2022-10-28"
"2340785","survey_fndds_food","Soy milk, light","","2022-10-28"
"2340786","survey_fndds_food","Soy milk, nonfat","","2022-10-28"
"2340787","survey_fndds_food","Soy milk, chocolate","","2022-10-28"
"2340788","survey_fndds_food","Soy milk, light, chocolate","","2022-10-28"
"2340789","survey_fndds_food","Almond milk, sweetened","","2022-10-28"
"2340790","survey_fndds_food","Almond milk, sweetened, chocolate","","2022-10-28"
"2340791","survey_fndds_food","Almond milk, unsweetened","","2022-10-28"
"2340792","survey_fndds_food","Almond milk, unsweetened, chocolate","","2022-10-28"
"2340793","survey_fndds_food","Rice milk","","2022-10-28"
"2340794","survey_fndds_food","Coconut milk","","2022-10-28"
"2340795","survey_fndds_food","Yogurt, NFS","","2022-10-28"
"2340796","survey_fndds_food","Yogurt, Greek, NS as to type of milk or flavor","","2022-10-28"
"2340797","survey_fndds_food","Yogurt, NS as to type of milk or flavor","","2022-10-28"
"2340798","survey_fndds_food","Yogurt, NS as to type of milk, plain","","2022-10-28"
"2340799","survey_fndds_food","Yogurt, whole milk, plain","","2022-10-28"
"2340800","survey_fndds_food","Yogurt, low fat milk, plain","","2022-10-28"
"2340801","survey_fndds_food","Yogurt, nonfat milk, plain","","2022-10-28"
"2340802","survey_fndds_food","Yogurt, Greek, NS as to type of milk, plain","","2022-10-28"
"2340803","survey_fndds_food","Yogurt, Greek, whole milk, plain","","2022-10-28"
"2340804","survey_fndds_food","Yogurt, Greek, low fat milk, plain","","2022-10-28"
"2340805","survey_fndds_food","Yogurt, Greek, nonfat milk, plain","","2022-10-28"
"2340806","survey_fndds_food","Yogurt, NS as to type of milk, fruit","","2022-10-28"
"2340807","survey_fndds_food","Yogurt, whole milk, fruit","","2022-10-28"
"2340808","survey_fndds_food","Yogurt, low fat milk, fruit","","2022-10-28"
"2340809","survey_fndds_food","Yogurt, nonfat milk, fruit","","2022-10-28"
"2340810","survey_fndds_food","Yogurt, Greek, NS as to type of milk, fruit","","2022-10-28"
"2340811","survey_fndds_food","Yogurt, Greek, whole milk, fruit","","2022-10-28"
"2340812","survey_fndds_food","Yogurt, Greek, low fat milk, fruit","","2022-10-28"
"2340813","survey_fndds_food","Yogurt, Greek, nonfat milk, fruit","","2022-10-28"
"2340814","survey_fndds_food","Yogurt, NS as to type of milk, flavors other than fruit","","2022-10-28"
"2340815","survey_fndds_food","Yogurt, whole milk, flavors other than fruit","","2022-10-28"
"2340816","survey_fndds_food","Yogurt, low fat milk, flavors other than fruit","","2022-10-28"
"2340817","survey_fndds_food","Yogurt, nonfat milk, flavors other than fruit","","2022-10-28"
"2340818","survey_fndds_food","Yogurt, Greek, NS as to type of milk, flavors other than fruit","","2022-10-28"
"2340819","survey_fndds_food","Yogurt, Greek, whole milk, flavors other than fruit","","2022-10-28"
"2340820","survey_fndds_food","Yogurt, Greek, low fat milk, flavors other than fruit","","2022-10-28"
"2340821","survey_fndds_food","Yogurt, Greek, nonfat milk, flavors other than fruit","","2022-10-28"
"2340822","survey_fndds_food","Yogurt, Greek, with oats","","2022-10-28"
"2340823","survey_fndds_food","Yogurt, liquid","","2022-10-28"
"2340824","survey_fndds_food","Chipotle dip, yogurt based","","2022-10-28"
"2340825","survey_fndds_food","Onion dip, yogurt based","","2022-10-28"
"2340826","survey_fndds_food","Ranch dip, yogurt based","","2022-10-28"
"2340827","survey_fndds_food","Spinach dip, yogurt based","","2022-10-28"
"2340828","survey_fndds_food","Tzatziki dip","","2022-10-28"
"2340829","survey_fndds_food","Vegetable dip, yogurt based","","2022-10-28"
"2340830","survey_fndds_food","Yogurt parfait, low fat, with fruit","","2022-10-28"
"2340831","survey_fndds_food","Frozen yogurt, NFS","","2022-10-28"
"2340832","survey_fndds_food","Frozen yogurt, vanilla","","2022-10-28"
"2340833","survey_fndds_food","Frozen yogurt, chocolate","","2022-10-28"
"2340834","survey_fndds_food","Frozen yogurt, soft serve, vanilla","","2022-10-28"
"2340835","survey_fndds_food","Frozen yogurt, soft serve, chocolate","","2022-10-28"
"2340836","survey_fndds_food","Frozen yogurt sandwich","","2022-10-28"
"2340837","survey_fndds_food","Frozen yogurt bar, vanilla","","2022-10-28"
"2340838","survey_fndds_food","Frozen yogurt bar, chocolate","","2022-10-28"
"2340839","survey_fndds_food","Frozen yogurt cone, chocolate","","2022-10-28"
"2340840","survey_fndds_food","Frozen yogurt cone, vanilla","","2022-10-28"
"2340841","survey_fndds_food","Frozen yogurt cone, vanilla, waffle cone","","2022-10-28"
"2340842","survey_fndds_food","Frozen yogurt cone, chocolate, waffle cone","","2022-10-28"
"2340843","survey_fndds_food","Baby Toddler food, NFS","","2022-10-28"
"2340844","survey_fndds_food","Baby Toddler yogurt, plain","","2022-10-28"
"2340845","survey_fndds_food","Baby Toddler yogurt, with fruit","","2022-10-28"
"2340846","survey_fndds_food","Chocolate milk, NFS","","2022-10-28"
"2340847","survey_fndds_food","Chocolate milk, ready to drink, whole","","2022-10-28"
"2340848","survey_fndds_food","Chocolate milk, ready to drink, reduced fat","","2022-10-28"
"2340849","survey_fndds_food","Chocolate milk, ready to drink, fat free","","2022-10-28"
"2340850","survey_fndds_food","Chocolate milk, ready to drink, low fat","","2022-10-28"
"2340851","survey_fndds_food","Chocolate milk, ready to drink, reduced sugar, NS as to milk","","2022-10-28"
"2340852","survey_fndds_food","Chocolate milk, ready to drink, low fat (Nesquik)","","2022-10-28"
"2340853","survey_fndds_food","Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)","","2022-10-28"
"2340854","survey_fndds_food","Hot chocolate / Cocoa, ready to drink","","2022-10-28"
"2340855","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, made with nonfat milk","","2022-10-28"
"2340856","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk","","2022-10-28"
"2340857","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, with whipped cream","","2022-10-28"
"2340858","survey_fndds_food","Chocolate milk, made from dry mix with whole milk","","2022-10-28"
"2340859","survey_fndds_food","Chocolate milk, made from dry mix with reduced fat milk","","2022-10-28"
"2340860","survey_fndds_food","Chocolate milk, made from dry mix with fat free milk","","2022-10-28"
"2340861","survey_fndds_food","Chocolate milk, made from dry mix with non-dairy milk","","2022-10-28"
"2340862","survey_fndds_food","Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)","","2022-10-28"
"2340863","survey_fndds_food","Chocolate milk, made from dry mix with whole milk (Nesquik)","","2022-10-28"
"2340864","survey_fndds_food","Chocolate milk, made from dry mix with reduced fat milk (Nesquik)","","2022-10-28"
"2340865","survey_fndds_food","Chocolate milk, made from dry mix with low fat milk (Nesquik)","","2022-10-28"
"2340866","survey_fndds_food","Chocolate milk, made from dry mix with fat free milk (Nesquik)","","2022-10-28"
"2340867","survey_fndds_food","Chocolate milk, made from dry mix with non-dairy milk (Nesquik)","","2022-10-28"
"2340868","survey_fndds_food","Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)","","2022-10-28"
"2340869","survey_fndds_food","Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)","","2022-10-28"
"2340870","survey_fndds_food","Chocolate milk, made from syrup, NS as to type of milk","","2022-10-28"
"2340871","survey_fndds_food","Chocolate milk, made from syrup with whole milk","","2022-10-28"
"2340872","survey_fndds_food","Chocolate milk, made from syrup with reduced fat milk","","2022-10-28"
"2340873","survey_fndds_food","Chocolate milk, made from syrup with low fat milk","","2022-10-28"
"2340874","survey_fndds_food","Chocolate milk, made from syrup with fat free milk","","2022-10-28"
"2340875","survey_fndds_food","Chocolate milk, made from syrup with non-dairy milk","","2022-10-28"
"2340876","survey_fndds_food","Chocolate milk, made from light syrup with whole milk","","2022-10-28"
"2340877","survey_fndds_food","Chocolate milk, made from light syrup with reduced fat milk","","2022-10-28"
"2340878","survey_fndds_food","Chocolate milk, made from light syrup with low fat milk","","2022-10-28"
"2340879","survey_fndds_food","Chocolate milk, made from light syrup with fat free milk","","2022-10-28"
"2340880","survey_fndds_food","Chocolate milk, made from sugar free syrup with whole milk","","2022-10-28"
"2340881","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and water","","2022-10-28"
"2340882","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and whole milk","","2022-10-28"
"2340883","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and reduced fat milk","","2022-10-28"
"2340884","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and low fat milk","","2022-10-28"
"2340885","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and fat free milk","","2022-10-28"
"2340886","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and non-dairy milk","","2022-10-28"
"2340887","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and water","","2022-10-28"
"2340888","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk","","2022-10-28"
"2340889","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk","","2022-10-28"
"2340890","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk","","2022-10-28"
"2340891","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk","","2022-10-28"
"2340892","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk","","2022-10-28"
"2340893","survey_fndds_food","Strawberry milk, NFS","","2022-10-28"
"2340894","survey_fndds_food","Strawberry milk, whole","","2022-10-28"
"2340895","survey_fndds_food","Strawberry milk, reduced fat","","2022-10-28"
"2340896","survey_fndds_food","Strawberry milk, low fat","","2022-10-28"
"2340897","survey_fndds_food","Strawberry milk, fat free","","2022-10-28"
"2340898","survey_fndds_food","Strawberry milk, reduced sugar","","2022-10-28"
"2340899","survey_fndds_food","Strawberry milk, non-dairy","","2022-10-28"
"2340900","survey_fndds_food","Milk, malted","","2022-10-28"
"2340901","survey_fndds_food","Eggnog","","2022-10-28"
"2340902","survey_fndds_food","Milk shake, home recipe, chocolate","","2022-10-28"
"2340903","survey_fndds_food","Milk shake, home recipe, flavors other than chocolate","","2022-10-28"
"2340904","survey_fndds_food","Milk shake, home recipe, chocolate, light","","2022-10-28"
"2340905","survey_fndds_food","Milk shake, home recipe, flavors other than chocolate, light","","2022-10-28"
"2340906","survey_fndds_food","Milk shake with malt","","2022-10-28"
"2340907","survey_fndds_food","Milk shake, fast food, chocolate","","2022-10-28"
"2340908","survey_fndds_food","Milk shake, fast food, flavors other than chocolate","","2022-10-28"
"2340909","survey_fndds_food","Milk shake, bottled, chocolate","","2022-10-28"
"2340910","survey_fndds_food","Milk shake, bottled, flavors other than chocolate","","2022-10-28"
"2340911","survey_fndds_food","Licuado or Batido","","2022-10-28"
"2340912","survey_fndds_food","Fruit smoothie, NFS","","2022-10-28"
"2340913","survey_fndds_food","Fruit smoothie, with whole fruit and dairy","","2022-10-28"
"2340914","survey_fndds_food","Fruit smoothie, with whole fruit and dairy, added protein","","2022-10-28"
"2340915","survey_fndds_food","Fruit smoothie juice drink, with dairy","","2022-10-28"
"2340916","survey_fndds_food","Chocolate milk drink","","2022-10-28"
"2340917","survey_fndds_food","Infant formula, NFS","","2022-10-28"
"2340918","survey_fndds_food","Infant formula, Similac, NFS","","2022-10-28"
"2340919","survey_fndds_food","Infant formula, Similac Alimentum, ready-to-feed","","2022-10-28"
"2340920","survey_fndds_food","Infant formula, Similac Alimentum, powder, made with water","","2022-10-28"
"2340921","survey_fndds_food","Infant formula, Similac Advance, ready-to-feed","","2022-10-28"
"2340922","survey_fndds_food","Infant formula, Similac Advance, powder, made with tap water","","2022-10-28"
"2340923","survey_fndds_food","Infant formula, Similac Advance, powder, made with bottled water","","2022-10-28"
"2340924","survey_fndds_food","Infant formula, Similac Advance, powder, made with baby water","","2022-10-28"
"2340925","survey_fndds_food","Infant formula, Similac Sensitive, ready-to-feed","","2022-10-28"
"2340926","survey_fndds_food","Infant formula, Similac Sensitive, powder, made with tap water","","2022-10-28"
"2340927","survey_fndds_food","Infant formula, Similac Sensitive, powder, made with bottled water","","2022-10-28"
"2340928","survey_fndds_food","Infant formula, Similac Sensitive, powder, made with baby water","","2022-10-28"
"2340929","survey_fndds_food","Infant formula, Similac for Spit-Up, ready-to-feed","","2022-10-28"
"2340930","survey_fndds_food","Infant formula, Similac for Spit-Up, powder, made with water","","2022-10-28"
"2340931","survey_fndds_food","Toddler formula, Similac Go and Grow","","2022-10-28"
"2340932","survey_fndds_food","Infant formula, Enfamil, NFS","","2022-10-28"
"2340933","survey_fndds_food","Infant formula, Enfamil Premium Newborn, ready-to-feed","","2022-10-28"
"2340934","survey_fndds_food","Infant formula, Enfamil Premium Newborn, powder, made with water","","2022-10-28"
"2340935","survey_fndds_food","Infant formula, Enfamil Infant, ready-to-feed","","2022-10-28"
"2340936","survey_fndds_food","Infant formula, Enfamil Infant, powder, made with tap water","","2022-10-28"
"2340937","survey_fndds_food","Infant formula, Enfamil Infant, powder, made with bottled water","","2022-10-28"
"2340938","survey_fndds_food","Infant formula, Enfamil Infant, powder, made with baby water","","2022-10-28"
"2340939","survey_fndds_food","Infant formula, Enfamil AR, ready-to-feed","","2022-10-28"
"2340940","survey_fndds_food","Infant formula, Enfamil AR, powder, made with water","","2022-10-28"
"2340941","survey_fndds_food","Infant formula, Enfamil Gentlease, ready-to-feed","","2022-10-28"
"2340942","survey_fndds_food","Infant formula, Enfamil Gentlease, powder, made with tap water","","2022-10-28"
"2340943","survey_fndds_food","Infant formula, Enfamil Gentlease, powder, made with bottled water","","2022-10-28"
"2340944","survey_fndds_food","Infant formula, Enfamil Gentlease, powder, made with baby water","","2022-10-28"
"2340945","survey_fndds_food","Toddler formula, Enfamil Enfagrow","","2022-10-28"
"2340946","survey_fndds_food","Toddler formula, PediaSure","","2022-10-28"
"2340947","survey_fndds_food","Toddler formula, Nido Kinder","","2022-10-28"
"2340948","survey_fndds_food","Toddler formula, store brand, beginning or next stage","","2022-10-28"
"2340949","survey_fndds_food","Toddler formula, store brand, pediatric shake","","2022-10-28"
"2340950","survey_fndds_food","Infant formula, Gerber, NFS","","2022-10-28"
"2340951","survey_fndds_food","Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed","","2022-10-28"
"2340952","survey_fndds_food","Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water","","2022-10-28"
"2340953","survey_fndds_food","Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water","","2022-10-28"
